Pressure,Temperature,Density,Enthalpy,Internal Energy,Gibbs Energy,Entropy,Molecular Mass,Specific Heat Capacity,Sound Speed,Viscosity,Thermal Conductivity,Prandtl Number
0.2,200,0.529,-9020,-9060,-9990,4.85,44,0.735,226,0.101,0.0955,0.776
0.2,300,0.353,-8940,-9000,-10500,5.17,44,0.846,270,0.15,0.166,0.764
0.2,400,0.265,-8850,-8930,-11000,5.42,44,0.939,308,0.197,0.246,0.753
0.2,500,0.212,-8750,-8850,-11600,5.64,44,1.01,341,0.24,0.326,0.748
0.2,600,0.176,-8650,-8760,-12100,5.83,44,1.08,371,0.28,0.403,0.746
0.2,700,0.151,-8540,-8670,-12700,6,44,1.13,399,0.317,0.478,0.746
0.2,800,0.132,-8420,-8570,-13300,6.15,44,1.17,425,0.351,0.548,0.748
0.2,900,0.118,-8300,-8470,-14000,6.29,44,1.2,449,0.383,0.616,0.749
0.2,1000,0.106,-8180,-8370,-14600,6.42,44,1.23,472,0.413,0.68,0.75
0.2,1100,0.0962,-8060,-8270,-15300,6.54,44,1.26,494,0.442,0.741,0.752
0.2,1200,0.0882,-7930,-8160,-15900,6.65,44,1.28,516,0.47,0.801,0.752
0.2,1300,0.0814,-7800,-8050,-16600,6.76,44,1.3,536,0.497,0.861,0.752
0.2,1400,0.0756,-7670,-7930,-17300,6.85,44,1.33,555,0.523,0.926,0.75
0.2,1500,0.0706,-7540,-7820,-18000,6.95,44,1.37,574,0.548,1,0.746
0.2,1600,0.0661,-7400,-7700,-18700,7.04,44,1.43,591,0.573,1.11,0.738
0.2,1700,0.0622,-7250,-7570,-19400,7.13,43.9,1.52,608,0.597,1.26,0.725
0.2,1800,0.0586,-7090,-7430,-20100,7.22,43.8,1.68,624,0.621,1.48,0.707
0.2,1900,0.0553,-6910,-7270,-20800,7.31,43.7,1.92,639,0.645,1.81,0.687
0.2,2000,0.0523,-6700,-7080,-21500,7.42,43.4,2.27,654,0.669,2.28,0.668
0.2,2100,0.0493,-6450,-6860,-22300,7.54,43.1,2.74,671,0.694,2.92,0.652
0.2,2200,0.0465,-6150,-6580,-23100,7.68,42.5,3.36,689,0.72,3.77,0.641
0.2,2300,0.0437,-5770,-6230,-23800,7.85,41.8,4.12,709,0.747,4.84,0.637
0.2,2400,0.0409,-5320,-5810,-24600,8.04,40.8,5.01,732,0.776,6.09,0.638
0.2,2500,0.0381,-4770,-5300,-25400,8.27,39.6,5.98,758,0.805,7.48,0.644
0.2,2600,0.0353,-4120,-4690,-26300,8.52,38.1,6.99,788,0.836,8.94,0.653
0.2,2700,0.0326,-3370,-3990,-27100,8.8,36.6,7.94,821,0.866,10.4,0.664
0.2,2800,0.03,-2540,-3200,-28000,9.11,34.9,8.78,856,0.896,11.7,0.674
0.2,2900,0.0276,-1620,-2350,-29000,9.43,33.2,9.46,895,0.926,12.9,0.681
0.2,3000,0.0253,-650,-1440,-29900,9.76,31.6,9.95,935,0.955,13.8,0.688
0.2,3100,0.0233,362,-497,-30900,10.1,30,10.3,978,0.983,14.5,0.694
0.2,3200,0.0215,1390,463,-31900,10.4,28.6,10.4,1020,1.01,14.9,0.703
0.2,3300,0.0199,2420,1420,-33000,10.7,27.2,10.2,1060,1.04,14.8,0.715
0.2,3400,0.0184,3420,2330,-34100,11,26.1,9.67,1110,1.07,14.1,0.733
0.2,3500,0.0172,4350,3180,-35200,11.3,25.1,8.8,1150,1.09,12.8,0.752
0.2,3600,0.0162,5170,3940,-36300,11.5,24.3,7.66,1190,1.12,11.1,0.772
0.2,3700,0.0154,5870,4570,-37500,11.7,23.6,6.4,1230,1.15,9.31,0.787
0.2,3800,0.0147,6450,5090,-38700,11.9,23.2,5.2,1270,1.17,7.64,0.797
0.2,3900,0.0141,6920,5500,-39900,12,22.8,4.17,1300,1.2,6.24,0.799
0.2,4000,0.0136,7290,5820,-41100,12.1,22.6,3.37,1340,1.22,5.17,0.795
0.2,4100,0.0131,7600,6080,-42300,12.2,22.4,2.78,1370,1.24,4.39,0.787
0.2,4200,0.0128,7850,6290,-43500,12.2,22.3,2.35,1410,1.27,3.85,0.776
0.2,4300,0.0124,8070,6460,-44700,12.3,22.2,2.06,1440,1.29,3.48,0.764
0.2,4400,0.0121,8270,6620,-46000,12.3,22.2,1.85,1470,1.32,3.24,0.753
0.2,4500,0.0118,8450,6760,-47200,12.4,22.1,1.72,1500,1.34,3.09,0.744
0.2,4600,0.0116,8610,6880,-48500,12.4,22.1,1.63,1520,1.36,3,0.736
0.2,4700,0.0113,8770,7000,-49700,12.4,22.1,1.57,1540,1.38,2.98,0.73
0.2,4800,0.011,8930,7120,-50900,12.5,22,1.54,1560,1.41,3,0.725
0.2,4900,0.0108,9080,7230,-52200,12.5,22,1.55,1580,1.43,3.07,0.72
0.2,5000,0.0106,9240,7350,-53400,12.5,22,1.58,1590,1.45,3.2,0.715
0.2,5100,0.0104,9400,7470,-54700,12.6,22,1.65,1600,1.47,3.43,0.709
0.2,5200,0.0102,9570,7600,-56000,12.6,22,1.77,1600,1.5,3.77,0.704
0.2,5300,0.00997,9760,7750,-57200,12.6,22,1.97,1600,1.52,4.28,0.699
0.2,5400,0.00977,9970,7920,-58500,12.7,21.9,2.26,1600,1.54,5.04,0.692
0.2,5500,0.00957,10200,8120,-59800,12.7,21.9,2.69,1600,1.56,6.12,0.686
0.2,5600,0.00937,10500,8380,-61000,12.8,21.8,3.29,1600,1.58,7.65,0.682
0.2,5700,0.00916,10900,8700,-62300,12.8,21.7,4.11,1600,1.61,9.72,0.679
0.2,5800,0.00895,11300,9110,-63600,12.9,21.6,5.2,1610,1.63,12.4,0.68
0.2,5900,0.00872,11900,9640,-64900,13,21.4,6.57,1620,1.65,15.8,0.685
0.2,6000,0.00848,12700,10300,-66200,13.1,21.2,8.24,1630,1.67,19.9,0.693
0.2,6100,0.00822,13600,11200,-67500,13.3,20.8,10.2,1650,1.69,24.4,0.705
0.2,6200,0.00794,14700,12200,-68900,13.5,20.5,12.2,1680,1.72,29.1,0.722
0.2,6300,0.00765,16000,13400,-70200,13.7,20,14.4,1710,1.74,33.7,0.741
0.2,6400,0.00735,17600,14800,-71600,13.9,19.5,16.3,1750,1.76,37.6,0.764
0.2,6500,0.00704,19300,16400,-73000,14.2,19,17.9,1780,1.78,40.5,0.789
0.2,6600,0.00674,21100,18200,-74400,14.5,18.5,19.1,1820,1.81,42.2,0.815
0.2,6700,0.00645,23100,20000,-75900,14.8,18,19.6,1870,1.83,42.5,0.84
0.2,6800,0.00617,25000,21800,-77400,15.1,17.5,19.4,1910,1.85,41.6,0.864
0.2,6900,0.00592,26900,23600,-78900,15.3,17,18.7,1950,1.87,39.6,0.884
0.2,7000,0.00569,28800,25300,-80500,15.6,16.6,17.5,1990,1.89,36.8,0.9
0.2,7100,0.00549,30400,26800,-82000,15.8,16.2,16,2030,1.91,33.6,0.91
0.2,7200,0.00531,32000,28200,-83600,16.1,15.9,14.4,2070,1.93,30.3,0.915
0.2,7300,0.00515,33300,29400,-85200,16.2,15.6,12.7,2110,1.94,27.2,0.912
0.2,7400,0.00501,34500,30500,-86900,16.4,15.4,11.2,2150,1.96,24.4,0.903
0.2,7500,0.00488,35600,31500,-88500,16.5,15.2,9.85,2180,1.98,22,0.888
0.2,7600,0.00477,36500,32300,-90200,16.7,15.1,8.69,2220,2,20,0.868
0.2,7700,0.00467,37300,33000,-91900,16.8,14.9,7.73,2250,2.02,18.5,0.844
0.2,7800,0.00457,38000,33700,-93500,16.9,14.8,6.96,2280,2.03,17.3,0.818
0.2,7900,0.00449,38700,34300,-95200,17,14.7,6.37,2310,2.05,16.5,0.791
0.2,8000,0.0044,39300,34800,-96900,17,14.6,5.93,2340,2.06,16,0.765
0.2,8100,0.00433,39900,35300,-98600,17.1,14.6,5.61,2370,2.08,15.7,0.741
0.2,8200,0.00426,40500,35800,-100000,17.2,14.5,5.4,2390,2.09,15.7,0.719
0.2,8300,0.00419,41000,36200,-102000,17.2,14.4,5.28,2420,2.11,15.9,0.701
0.2,8400,0.00412,41500,36700,-104000,17.3,14.4,5.23,2440,2.12,16.2,0.685
0.2,8500,0.00405,42000,37100,-106000,17.4,14.3,5.24,2460,2.13,16.6,0.672
0.2,8600,0.00399,42600,37500,-107000,17.4,14.3,5.31,2480,2.14,17.2,0.661
0.2,8700,0.00393,43100,38000,-109000,17.5,14.2,5.42,2500,2.15,17.9,0.652
0.2,8800,0.00386,43600,38500,-111000,17.5,14.1,5.56,2510,2.16,18.6,0.645
0.2,8900,0.0038,44200,39000,-113000,17.6,14.1,5.74,2530,2.17,19.5,0.639
0.2,9000,0.00374,44800,39500,-114000,17.7,14,5.94,2550,2.18,20.4,0.635
0.2,9100,0.00368,45400,40000,-116000,17.7,13.9,6.17,2570,2.18,21.4,0.631
0.2,9200,0.00363,46000,40500,-118000,17.8,13.9,6.42,2580,2.19,22.4,0.628
0.2,9300,0.00357,46700,41100,-120000,17.9,13.8,6.69,2600,2.19,23.4,0.625
0.2,9400,0.00351,47400,41700,-121000,18,13.7,6.97,2620,2.19,24.5,0.623
0.2,9500,0.00345,48100,42300,-123000,18,13.6,7.26,2640,2.2,25.7,0.621
0.2,9600,0.0034,48800,42900,-125000,18.1,13.6,7.57,2660,2.2,26.8,0.62
0.2,9700,0.00334,49600,43600,-127000,18.2,13.5,7.89,2680,2.19,28,0.618
0.2,9800,0.00329,50400,44300,-129000,18.3,13.4,8.22,2700,2.19,29.2,0.617
0.2,9900,0.00323,51200,45000,-130000,18.4,13.3,8.56,2720,2.19,30.4,0.616
0.2,10000,0.00318,52100,45800,-132000,18.4,13.2,8.9,2740,2.18,31.5,0.615
0.2,10100,0.00312,53000,46600,-134000,18.5,13.1,9.25,2760,2.18,32.7,0.615
0.2,10200,0.00307,54000,47400,-136000,18.6,13,9.6,2790,2.17,33.9,0.614
0.2,10300,0.00302,54900,48300,-138000,18.7,12.9,9.96,2810,2.16,35,0.614
0.2,10400,0.00296,56000,49200,-140000,18.8,12.8,10.3,2830,2.15,36.1,0.614
0.2,10500,0.00291,57000,50100,-142000,18.9,12.7,10.7,2860,2.14,37.2,0.614
0.3,200,0.794,-9020,-9060,-9970,4.77,44,0.735,226,0.101,0.0955,0.776
0.3,300,0.529,-8940,-9000,-10500,5.09,44,0.846,270,0.15,0.166,0.764
0.3,400,0.397,-8850,-8930,-11000,5.35,44,0.939,308,0.197,0.246,0.753
0.3,500,0.318,-8750,-8850,-11500,5.56,44,1.01,341,0.24,0.326,0.748
0.3,600,0.265,-8650,-8760,-12100,5.76,44,1.08,371,0.28,0.403,0.746
0.3,700,0.227,-8540,-8670,-12700,5.93,44,1.13,399,0.317,0.478,0.746
0.3,800,0.198,-8420,-8570,-13300,6.08,44,1.17,425,0.351,0.548,0.748
0.3,900,0.176,-8300,-8470,-13900,6.22,44,1.2,449,0.383,0.616,0.749
0.3,1000,0.159,-8180,-8370,-14500,6.35,44,1.23,472,0.413,0.68,0.75
0.3,1100,0.144,-8060,-8270,-15200,6.47,44,1.26,494,0.442,0.741,0.752
0.3,1200,0.132,-7930,-8160,-15800,6.58,44,1.28,516,0.47,0.801,0.752
0.3,1300,0.122,-7800,-8050,-16500,6.68,44,1.3,536,0.497,0.861,0.752
0.3,1400,0.113,-7670,-7930,-17200,6.78,44,1.33,556,0.523,0.924,0.751
0.3,1500,0.106,-7540,-7820,-17800,6.87,44,1.36,574,0.548,0.999,0.747
0.3,1600,0.0992,-7400,-7700,-18500,6.96,44,1.41,592,0.573,1.1,0.74
0.3,1700,0.0933,-7250,-7570,-19200,7.05,43.9,1.5,608,0.597,1.23,0.728
0.3,1800,0.0879,-7100,-7440,-19900,7.14,43.9,1.64,624,0.621,1.43,0.712
0.3,1900,0.0831,-6920,-7280,-20700,7.23,43.7,1.85,639,0.645,1.73,0.692
0.3,2000,0.0785,-6720,-7100,-21400,7.33,43.5,2.16,655,0.669,2.14,0.673
0.3,2100,0.0742,-6490,-6890,-22100,7.45,43.2,2.57,671,0.693,2.72,0.657
0.3,2200,0.07,-6200,-6630,-22900,7.58,42.7,3.12,688,0.719,3.48,0.645
0.3,2300,0.0659,-5860,-6310,-23600,7.73,42,3.79,708,0.745,4.43,0.638
0.3,2400,0.0619,-5440,-5920,-24400,7.91,41.1,4.59,730,0.773,5.56,0.638
0.3,2500,0.0578,-4940,-5460,-25200,8.12,40,5.47,754,0.802,6.84,0.642
0.3,2600,0.0538,-4340,-4900,-26000,8.35,38.8,6.4,782,0.832,8.2,0.65
0.3,2700,0.0498,-3660,-4260,-26900,8.61,37.3,7.31,813,0.862,9.56,0.66
0.3,2800,0.046,-2880,-3540,-27800,8.89,35.7,8.14,847,0.893,10.8,0.67
0.3,2900,0.0424,-2030,-2740,-28700,9.19,34.1,8.83,883,0.922,12,0.678
0.3,3000,0.0391,-1120,-1890,-29600,9.49,32.5,9.36,922,0.951,13,0.685
0.3,3100,0.036,-167,-1000,-30600,9.81,31,9.73,963,0.979,13.8,0.69
0.3,3200,0.0332,817,-85.1,-31600,10.1,29.5,9.93,1000,1.01,14.4,0.697
0.3,3300,0.0308,1810,837,-32600,10.4,28.1,9.93,1050,1.03,14.6,0.706
0.3,3400,0.0285,2800,1740,-33700,10.7,26.9,9.68,1090,1.06,14.3,0.719
0.3,3500,0.0266,3740,2610,-34700,11,25.8,9.13,1130,1.09,13.5,0.737
0.3,3600,0.025,4610,3410,-35900,11.2,24.9,8.28,1170,1.12,12.2,0.756
0.3,3700,0.0236,5390,4110,-37000,11.5,24.2,7.2,1210,1.14,10.6,0.774
0.3,3800,0.0224,6050,4710,-38100,11.6,23.6,6.05,1250,1.17,8.99,0.788
0.3,3900,0.0214,6600,5200,-39300,11.8,23.1,4.97,1290,1.19,7.46,0.796
0.3,4000,0.0206,7050,5590,-40500,11.9,22.8,4.04,1320,1.22,6.18,0.798
0.3,4100,0.0199,7410,5910,-41700,12,22.6,3.31,1360,1.24,5.18,0.794
0.3,4200,0.0193,7720,6160,-42900,12,22.4,2.76,1390,1.27,4.45,0.786
0.3,4300,0.0187,7970,6370,-44100,12.1,22.3,2.36,1420,1.29,3.93,0.776
0.3,4400,0.0182,8190,6550,-45300,12.2,22.2,2.08,1460,1.31,3.57,0.765
0.3,4500,0.0178,8390,6700,-46500,12.2,22.2,1.88,1490,1.34,3.33,0.755
0.3,4600,0.0174,8570,6840,-47800,12.2,22.1,1.74,1510,1.36,3.18,0.746
0.3,4700,0.017,8740,6970,-49000,12.3,22.1,1.65,1540,1.38,3.09,0.738
0.3,4800,0.0166,8900,7090,-50200,12.3,22.1,1.59,1560,1.41,3.06,0.732
0.3,4900,0.0162,9060,7210,-51400,12.3,22.1,1.57,1580,1.43,3.08,0.726
0.3,5000,0.0159,9210,7330,-52700,12.4,22,1.57,1590,1.45,3.16,0.721
0.3,5100,0.0156,9370,7450,-53900,12.4,22,1.6,1600,1.47,3.3,0.715
0.3,5200,0.0153,9540,7570,-55200,12.4,22,1.67,1610,1.5,3.52,0.711
0.3,5300,0.015,9710,7710,-56400,12.5,22,1.8,1610,1.52,3.87,0.706
0.3,5400,0.0147,9900,7850,-57700,12.5,22,1.99,1610,1.54,4.38,0.699
0.3,5500,0.0144,10100,8030,-58900,12.5,21.9,2.28,1610,1.56,5.13,0.693
0.3,5600,0.0141,10400,8230,-60200,12.6,21.9,2.69,1610,1.58,6.2,0.687
0.3,5700,0.0138,10700,8480,-61400,12.6,21.8,3.26,1610,1.61,7.67,0.682
0.3,5800,0.0135,11000,8800,-62700,12.7,21.7,4.03,1610,1.63,9.64,0.68
0.3,5900,0.0132,11500,9200,-64000,12.8,21.6,5.03,1620,1.65,12.2,0.681
0.3,6000,0.0129,12000,9700,-65300,12.9,21.4,6.3,1630,1.67,15.4,0.684
0.3,6100,0.0125,12700,10300,-66500,13,21.2,7.83,1650,1.69,19.2,0.692
0.3,6200,0.0122,13600,11100,-67900,13.1,20.9,9.59,1670,1.72,23.4,0.703
0.3,6300,0.0118,14700,12100,-69200,13.3,20.5,11.5,1690,1.74,27.8,0.718
0.3,6400,0.0113,15900,13300,-70500,13.5,20.1,13.5,1720,1.76,32.2,0.737
0.3,6500,0.0109,17400,14600,-71900,13.7,19.7,15.3,1750,1.78,36.1,0.758
0.3,6600,0.0105,19000,16100,-73300,14,19.2,16.9,1790,1.8,39.1,0.781
0.3,6700,0.01,20700,17700,-74700,14.2,18.7,18.1,1830,1.83,41.1,0.806
0.3,6800,0.00963,22600,19500,-76100,14.5,18.1,18.8,1870,1.85,41.8,0.83
0.3,6900,0.00923,24500,21200,-77600,14.8,17.7,18.9,1910,1.87,41.4,0.854
0.3,7000,0.00886,26300,22900,-79100,15.1,17.2,18.4,1950,1.89,39.8,0.874
0.3,7100,0.00852,28100,24600,-80600,15.3,16.8,17.5,2000,1.91,37.5,0.891
0.3,7200,0.00821,29800,26200,-82100,15.5,16.4,16.2,2040,1.93,34.7,0.904
0.3,7300,0.00794,31400,27600,-83700,15.8,16.1,14.8,2080,1.95,31.6,0.911
0.3,7400,0.00769,32800,28900,-85300,16,15.8,13.3,2110,1.97,28.6,0.911
0.3,7500,0.00748,34000,30000,-86900,16.1,15.5,11.8,2150,1.99,25.8,0.906
0.3,7600,0.00728,35100,31000,-88500,16.3,15.3,10.4,2190,2,23.3,0.895
0.3,7700,0.00711,36100,31900,-90100,16.4,15.2,9.21,2220,2.02,21.2,0.879
0.3,7800,0.00695,37000,32700,-91800,16.5,15,8.2,2250,2.04,19.5,0.858
0.3,7900,0.00681,37800,33400,-93400,16.6,14.9,7.36,2290,2.06,18.1,0.834
0.3,8000,0.00668,38500,34000,-95100,16.7,14.8,6.68,2320,2.07,17.1,0.809
0.3,8100,0.00656,39100,34500,-96800,16.8,14.7,6.16,2350,2.09,16.4,0.783
0.3,8200,0.00644,39700,35000,-98500,16.8,14.6,5.77,2380,2.1,16,0.759
0.3,8300,0.00633,40300,35500,-100000,16.9,14.6,5.48,2400,2.12,15.8,0.736
0.3,8400,0.00623,40800,36000,-102000,17,14.5,5.29,2430,2.13,15.8,0.716
0.3,8500,0.00613,41300,36400,-104000,17,14.4,5.18,2450,2.15,15.9,0.698
0.3,8600,0.00603,41800,36900,-105000,17.1,14.4,5.14,2470,2.16,16.2,0.683
0.3,8700,0.00594,42300,37300,-107000,17.2,14.3,5.15,2490,2.17,16.7,0.67
0.3,8800,0.00585,42900,37700,-109000,17.2,14.3,5.2,2510,2.18,17.2,0.66
0.3,8900,0.00576,43400,38200,-110000,17.3,14.2,5.3,2530,2.19,17.8,0.651
0.3,9000,0.00567,43900,38600,-112000,17.3,14.1,5.43,2550,2.2,18.6,0.644
0.3,9100,0.00558,44500,39100,-114000,17.4,14.1,5.58,2560,2.21,19.3,0.638
0.3,9200,0.0055,45000,39600,-116000,17.5,14,5.77,2580,2.22,20.2,0.634
0.3,9300,0.00541,45600,40100,-117000,17.5,14,5.97,2600,2.23,21.1,0.63
0.3,9400,0.00533,46200,40600,-119000,17.6,13.9,6.19,2620,2.23,22.1,0.627
0.3,9500,0.00525,46900,41200,-121000,17.7,13.8,6.43,2630,2.24,23.1,0.624
0.3,9600,0.00517,47500,41700,-123000,17.7,13.7,6.69,2650,2.24,24.1,0.622
0.3,9700,0.00509,48200,42300,-124000,17.8,13.7,6.96,2670,2.24,25.2,0.62
0.3,9800,0.00501,48900,42900,-126000,17.9,13.6,7.24,2690,2.24,26.3,0.618
0.3,9900,0.00493,49700,43600,-128000,17.9,13.5,7.53,2710,2.24,27.4,0.617
0.3,10000,0.00485,50400,44200,-130000,18,13.4,7.83,2730,2.24,28.5,0.616
0.3,10100,0.00477,51200,44900,-132000,18.1,13.4,8.14,2750,2.24,29.6,0.615
0.3,10200,0.00469,52100,45700,-133000,18.2,13.3,8.45,2770,2.23,30.8,0.614
0.3,10300,0.00462,52900,46400,-135000,18.3,13.2,8.77,2790,2.23,31.9,0.613
0.3,10400,0.00454,53800,47200,-137000,18.4,13.1,9.1,2810,2.22,33,0.613
0.3,10500,0.00446,54700,48000,-139000,18.4,13,9.43,2830,2.21,34.1,0.612
0.4,200,1.06,-9020,-9060,-9960,4.72,44,0.735,226,0.101,0.0955,0.776
0.4,300,0.706,-8940,-9000,-10500,5.04,44,0.846,270,0.15,0.166,0.764
0.4,400,0.529,-8850,-8930,-11000,5.29,44,0.939,308,0.197,0.246,0.753
0.4,500,0.423,-8750,-8850,-11500,5.51,44,1.01,341,0.24,0.326,0.748
0.4,600,0.353,-8650,-8760,-12100,5.7,44,1.08,371,0.28,0.403,0.746
0.4,700,0.302,-8540,-8670,-12600,5.87,44,1.13,399,0.317,0.478,0.746
0.4,800,0.265,-8420,-8570,-13200,6.02,44,1.17,425,0.351,0.548,0.748
0.4,900,0.235,-8300,-8470,-13900,6.16,44,1.2,449,0.383,0.616,0.749
0.4,1000,0.212,-8180,-8370,-14500,6.29,44,1.23,472,0.413,0.68,0.75
0.4,1100,0.192,-8060,-8270,-15100,6.41,44,1.26,494,0.442,0.741,0.752
0.4,1200,0.176,-7930,-8160,-15800,6.52,44,1.28,516,0.47,0.801,0.752
0.4,1300,0.163,-7800,-8050,-16400,6.63,44,1.3,536,0.497,0.86,0.752
0.4,1400,0.151,-7670,-7930,-17100,6.72,44,1.33,556,0.523,0.923,0.751
0.4,1500,0.141,-7540,-7820,-17800,6.81,44,1.36,574,0.548,0.996,0.747
0.4,1600,0.132,-7400,-7700,-18400,6.9,44,1.41,592,0.573,1.09,0.741
0.4,1700,0.124,-7250,-7580,-19100,6.99,43.9,1.49,609,0.597,1.22,0.73
0.4,1800,0.117,-7100,-7440,-19800,7.08,43.9,1.62,624,0.621,1.4,0.715
0.4,1900,0.111,-6930,-7290,-20600,7.17,43.8,1.81,640,0.645,1.67,0.696
0.4,2000,0.105,-6730,-7120,-21300,7.27,43.6,2.09,655,0.669,2.06,0.677
0.4,2100,0.0991,-6510,-6910,-22000,7.38,43.3,2.47,671,0.693,2.59,0.66
0.4,2200,0.0936,-6240,-6660,-22800,7.51,42.8,2.96,688,0.718,3.29,0.647
0.4,2300,0.0883,-5910,-6360,-23500,7.65,42.2,3.58,707,0.744,4.17,0.64
