Pressure,Temperature,Density,Enthalpy,Internal Energy,Gibbs Energy,Entropy,Molecular Mass,Specific Heat Capacity,Sound Speed,Viscosity,Thermal Conductivity,Prandtl Number
0.4,2400,0.083,-5520,-6000,-24300,7.82,41.4,4.32,728,0.771,5.22,0.638
0.4,2500,0.0777,-5040,-5560,-25100,8.01,40.4,5.14,752,0.8,6.41,0.641
0.4,2600,0.0724,-4490,-5040,-25900,8.23,39.1,6.02,778,0.829,7.7,0.648
0.4,2700,0.0673,-3840,-4440,-26700,8.48,37.8,6.89,808,0.86,9.01,0.657
0.4,2800,0.0623,-3110,-3750,-27600,8.74,36.3,7.7,841,0.89,10.3,0.667
0.4,2900,0.0576,-2310,-3000,-28500,9.02,34.7,8.39,876,0.919,11.4,0.676
0.4,3000,0.0531,-1440,-2190,-29400,9.32,33.1,8.95,913,0.948,12.4,0.683
0.4,3100,0.049,-522,-1340,-30300,9.62,31.6,9.35,952,0.976,13.3,0.688
0.4,3200,0.0453,427,-456,-31300,9.92,30.1,9.6,993,1,13.9,0.693
0.4,3300,0.0419,1390,439,-32300,10.2,28.8,9.68,1030,1.03,14.3,0.701
0.4,3400,0.0389,2360,1330,-33400,10.5,27.5,9.57,1080,1.06,14.2,0.712
0.4,3500,0.0363,3300,2200,-34400,10.8,26.4,9.2,1120,1.09,13.8,0.727
0.4,3600,0.034,4190,3010,-35500,11,25.4,8.56,1160,1.11,12.8,0.744
0.4,3700,0.032,5000,3750,-36600,11.3,24.6,7.66,1200,1.14,11.5,0.762
0.4,3800,0.0303,5720,4400,-37800,11.4,23.9,6.62,1240,1.17,9.92,0.779
0.4,3900,0.0289,6320,4940,-38900,11.6,23.4,5.55,1270,1.19,8.38,0.791
0.4,4000,0.0277,6830,5390,-40100,11.7,23,4.58,1310,1.22,7,0.797
0.4,4100,0.0267,7240,5750,-41300,11.8,22.8,3.76,1340,1.24,5.86,0.797
0.4,4200,0.0258,7590,6040,-42400,11.9,22.6,3.12,1380,1.27,4.99,0.792
0.4,4300,0.0251,7870,6280,-43600,12,22.4,2.64,1410,1.29,4.34,0.784
0.4,4400,0.0244,8120,6480,-44800,12,22.3,2.28,1440,1.31,3.88,0.773
0.4,4500,0.0238,8330,6650,-46000,12.1,22.2,2.03,1480,1.34,3.56,0.763
0.4,4600,0.0232,8530,6800,-47300,12.1,22.2,1.85,1500,1.36,3.35,0.753
0.4,4700,0.0227,8710,6940,-48500,12.2,22.1,1.73,1530,1.38,3.21,0.745
0.4,4800,0.0221,8870,7070,-49700,12.2,22.1,1.65,1550,1.41,3.14,0.737
0.4,4900,0.0217,9040,7190,-50900,12.2,22.1,1.6,1570,1.43,3.13,0.731
0.4,5000,0.0212,9200,7310,-52100,12.3,22.1,1.58,1590,1.45,3.16,0.726
0.4,5100,0.0208,9350,7430,-53400,12.3,22,1.59,1600,1.47,3.26,0.72
0.4,5200,0.0204,9510,7550,-54600,12.3,22,1.64,1610,1.5,3.42,0.716
0.4,5300,0.02,9680,7680,-55800,12.4,22,1.72,1620,1.52,3.67,0.711
0.4,5400,0.0196,9860,7820,-57100,12.4,22,1.86,1620,1.54,4.06,0.705
0.4,5500,0.0192,10100,7970,-58300,12.4,22,2.07,1620,1.56,4.64,0.698
0.4,5600,0.0188,10300,8150,-59600,12.5,21.9,2.38,1620,1.58,5.45,0.692
0.4,5700,0.0185,10500,8370,-60800,12.5,21.9,2.82,1620,1.6,6.59,0.686
0.4,5800,0.0181,10800,8630,-62100,12.6,21.8,3.41,1620,1.63,8.14,0.682
0.4,5900,0.0177,11200,8960,-63300,12.6,21.7,4.2,1630,1.65,10.2,0.68
0.4,6000,0.0173,11700,9380,-64600,12.7,21.5,5.22,1640,1.67,12.8,0.681
0.4,6100,0.0169,12300,9900,-65900,12.8,21.4,6.48,1650,1.69,16,0.686
0.4,6200,0.0164,13000,10600,-67100,12.9,21.1,7.98,1660,1.71,19.7,0.694
0.4,6300,0.0159,13900,11400,-68400,13.1,20.8,9.68,1690,1.74,23.8,0.705
0.4,6400,0.0154,14900,12300,-69800,13.2,20.5,11.5,1710,1.76,28.1,0.72
0.4,6500,0.0149,16200,13500,-71100,13.4,20.1,13.4,1740,1.78,32.2,0.738
0.4,6600,0.0143,17600,14800,-72400,13.6,19.6,15.1,1770,1.8,35.9,0.759
0.4,6700,0.0137,19200,16300,-73800,13.9,19.1,16.6,1810,1.83,38.7,0.782
0.4,6800,0.0132,20900,17900,-75200,14.1,18.6,17.7,1850,1.85,40.6,0.806
0.4,6900,0.0127,22700,19600,-76700,14.4,18.1,18.3,1890,1.87,41.3,0.83
0.4,7000,0.0121,24600,21300,-78100,14.7,17.7,18.4,1930,1.89,40.9,0.852
0.4,7100,0.0117,26400,23000,-79600,14.9,17.2,18,1970,1.91,39.4,0.872
0.4,7200,0.0112,28100,24600,-81100,15.2,16.8,17.2,2010,1.93,37.3,0.889
0.4,7300,0.0108,29800,26100,-82600,15.4,16.4,16,2050,1.95,34.6,0.901
0.4,7400,0.0105,31300,27500,-84200,15.6,16.1,14.6,2090,1.97,31.7,0.908
0.4,7500,0.0102,32700,28800,-85700,15.8,15.8,13.2,2130,1.99,28.8,0.91
0.4,7600,0.00987,34000,29900,-87300,16,15.6,11.8,2160,2.01,26.1,0.905
0.4,7700,0.00961,35100,30900,-88900,16.1,15.4,10.5,2200,2.03,23.7,0.895
0.4,7800,0.00939,36100,31800,-90500,16.2,15.2,9.3,2230,2.04,21.6,0.88
0.4,7900,0.00918,37000,32600,-92200,16.3,15.1,8.29,2270,2.06,19.8,0.861
0.4,8000,0.00899,37700,33300,-93800,16.4,14.9,7.45,2300,2.08,18.5,0.839
0.4,8100,0.00882,38400,33900,-95500,16.5,14.8,6.77,2330,2.1,17.4,0.814
0.4,8200,0.00865,39100,34500,-97100,16.6,14.8,6.23,2360,2.11,16.7,0.79
0.4,8300,0.0085,39700,35000,-98800,16.7,14.7,5.82,2390,2.13,16.2,0.765
0.4,8400,0.00836,40300,35500,-100000,16.8,14.6,5.51,2420,2.14,15.9,0.743
0.4,8500,0.00822,40800,35900,-102000,16.8,14.5,5.29,2440,2.16,15.8,0.722
0.4,8600,0.00809,41300,36400,-104000,16.9,14.5,5.16,2460,2.17,15.9,0.704
0.4,8700,0.00797,41800,36800,-106000,16.9,14.4,5.09,2490,2.18,16.1,0.688
0.4,8800,0.00784,42300,37200,-107000,17,14.3,5.07,2510,2.2,16.5,0.675
0.4,8900,0.00772,42900,37700,-109000,17.1,14.3,5.1,2530,2.21,17,0.664
0.4,9000,0.00761,43400,38100,-111000,17.1,14.2,5.17,2540,2.22,17.5,0.654
0.4,9100,0.00749,43900,38500,-112000,17.2,14.2,5.27,2560,2.23,18.2,0.647
0.4,9200,0.00738,44400,39000,-114000,17.2,14.1,5.41,2580,2.24,18.9,0.64
0.4,9300,0.00727,45000,39500,-116000,17.3,14.1,5.56,2600,2.25,19.7,0.635
0.4,9400,0.00716,45500,40000,-118000,17.3,14,5.74,2610,2.25,20.5,0.631
0.4,9500,0.00706,46100,40400,-119000,17.4,13.9,5.94,2630,2.26,21.4,0.627
0.4,9600,0.00695,46700,41000,-121000,17.5,13.9,6.16,2650,2.27,22.4,0.624
0.4,9700,0.00684,47400,41500,-123000,17.5,13.8,6.39,2670,2.27,23.3,0.622
0.4,9800,0.00674,48000,42100,-125000,17.6,13.7,6.63,2680,2.27,24.3,0.62
0.4,9900,0.00664,48700,42700,-126000,17.7,13.7,6.89,2700,2.28,25.4,0.618
0.4,10000,0.00653,49400,43300,-128000,17.7,13.6,7.16,2720,2.28,26.4,0.617
0.4,10100,0.00643,50100,43900,-130000,17.8,13.5,7.43,2740,2.28,27.5,0.615
0.4,10200,0.00633,50900,44500,-132000,17.9,13.4,7.72,2760,2.28,28.6,0.614
0.4,10300,0.00623,51700,45200,-133000,18,13.3,8.01,2780,2.27,29.7,0.613
0.4,10400,0.00613,52500,45900,-135000,18,13.3,8.31,2800,2.27,30.8,0.612
0.4,10500,0.00603,53300,46700,-137000,18.1,13.2,8.62,2820,2.26,31.9,0.612
0.5,200,1.32,-9020,-9060,-9950,4.67,44,0.735,226,0.101,0.0955,0.776
0.5,300,0.882,-8940,-9000,-10400,4.99,44,0.846,270,0.15,0.166,0.764
0.5,400,0.662,-8850,-8930,-11000,5.25,44,0.939,308,0.197,0.246,0.753
0.5,500,0.529,-8750,-8850,-11500,5.47,44,1.01,341,0.24,0.326,0.748
0.5,600,0.441,-8650,-8760,-12000,5.66,44,1.08,371,0.28,0.403,0.746
0.5,700,0.378,-8540,-8670,-12600,5.83,44,1.13,399,0.317,0.478,0.746
0.5,800,0.331,-8420,-8570,-13200,5.98,44,1.17,425,0.351,0.548,0.748
0.5,900,0.294,-8300,-8470,-13800,6.12,44,1.2,449,0.383,0.616,0.749
0.5,1000,0.265,-8180,-8370,-14400,6.25,44,1.23,472,0.413,0.68,0.75
0.5,1100,0.241,-8060,-8270,-15100,6.37,44,1.26,494,0.442,0.741,0.752
0.5,1200,0.221,-7930,-8160,-15700,6.48,44,1.28,516,0.47,0.801,0.752
0.5,1300,0.204,-7800,-8050,-16400,6.58,44,1.3,536,0.497,0.86,0.752
0.5,1400,0.189,-7670,-7930,-17000,6.68,44,1.32,556,0.523,0.922,0.751
0.5,1500,0.176,-7540,-7820,-17700,6.77,44,1.36,574,0.548,0.994,0.748
0.5,1600,0.165,-7400,-7700,-18400,6.86,44,1.4,592,0.573,1.08,0.742
0.5,1700,0.155,-7250,-7580,-19100,6.95,44,1.48,609,0.597,1.21,0.731
0.5,1800,0.147,-7100,-7440,-19800,7.04,43.9,1.6,625,0.621,1.38,0.717
0.5,1900,0.139,-6930,-7290,-20500,7.13,43.8,1.78,640,0.645,1.64,0.699
0.5,2000,0.131,-6740,-7130,-21200,7.22,43.6,2.04,655,0.668,2,0.68
0.5,2100,0.124,-6520,-6930,-21900,7.33,43.3,2.39,671,0.693,2.5,0.663
0.5,2200,0.117,-6260,-6690,-22700,7.45,42.9,2.85,688,0.717,3.15,0.65
0.5,2300,0.111,-5950,-6400,-23400,7.59,42.3,3.43,706,0.743,3.98,0.642
0.5,2400,0.104,-5570,-6050,-24200,7.75,41.6,4.12,727,0.77,4.97,0.639
0.5,2500,0.0976,-5120,-5630,-25000,7.94,40.6,4.9,750,0.798,6.11,0.641
0.5,2600,0.0912,-4590,-5140,-25800,8.14,39.4,5.73,776,0.828,7.34,0.647
0.5,2700,0.0849,-3970,-4560,-26600,8.38,38.1,6.57,804,0.857,8.6,0.655
0.5,2800,0.0788,-3280,-3910,-27400,8.63,36.7,7.37,836,0.887,9.83,0.665
0.5,2900,0.0729,-2510,-3190,-28300,8.9,35.2,8.06,870,0.917,11,0.674
0.5,3000,0.0674,-1670,-2410,-29200,9.18,33.6,8.62,907,0.946,12,0.681
0.5,3100,0.0623,-785,-1590,-30200,9.47,32.1,9.05,945,0.974,12.8,0.687
0.5,3200,0.0576,135,-733,-31100,9.77,30.7,9.33,984,1,13.5,0.692
0.5,3300,0.0534,1080,139,-32100,10.1,29.3,9.47,1030,1.03,14,0.698
0.5,3400,0.0495,2020,1010,-33100,10.3,28,9.43,1070,1.06,14.1,0.707
0.5,3500,0.0462,2960,1870,-34200,10.6,26.9,9.19,1110,1.08,13.8,0.72
0.5,3600,0.0432,3850,2690,-35300,10.9,25.8,8.69,1150,1.11,13.1,0.736
0.5,3700,0.0406,4680,3450,-36300,11.1,25,7.94,1190,1.14,12,0.754
0.5,3800,0.0384,5430,4130,-37500,11.3,24.3,7,1230,1.17,10.6,0.771
0.5,3900,0.0365,6080,4710,-38600,11.5,23.7,5.99,1260,1.19,9.09,0.784
0.5,4000,0.035,6630,5200,-39800,11.6,23.3,5,1300,1.22,7.67,0.793
0.5,4100,0.0336,7090,5600,-40900,11.7,22.9,4.14,1340,1.24,6.45,0.797
0.5,4200,0.0325,7460,5920,-42100,11.8,22.7,3.44,1370,1.27,5.47,0.795
0.5,4300,0.0315,7780,6190,-43300,11.9,22.5,2.89,1400,1.29,4.72,0.788
0.5,4400,0.0306,8050,6410,-44500,11.9,22.4,2.48,1440,1.31,4.18,0.779
0.5,4500,0.0298,8280,6600,-45700,12,22.3,2.18,1470,1.34,3.78,0.769
0.5,4600,0.029,8490,6760,-46900,12,22.2,1.96,1500,1.36,3.51,0.759
0.5,4700,0.0284,8670,6910,-48100,12.1,22.2,1.81,1520,1.38,3.34,0.75
0.5,4800,0.0277,8850,7040,-49300,12.1,22.1,1.71,1550,1.41,3.23,0.742
0.5,4900,0.0271,9020,7170,-50500,12.1,22.1,1.64,1570,1.43,3.18,0.736
0.5,5000,0.0265,9180,7290,-51700,12.2,22.1,1.6,1590,1.45,3.19,0.73
0.5,5100,0.026,9340,7410,-52900,12.2,22.1,1.6,1600,1.47,3.25,0.723
0.5,5200,0.0255,9500,7540,-54200,12.2,22,1.62,1620,1.5,3.37,0.719
0.5,5300,0.025,9660,7660,-55400,12.3,22,1.68,1620,1.52,3.57,0.714
0.5,5400,0.0245,9840,7790,-56600,12.3,22,1.79,1630,1.54,3.88,0.709
0.5,5500,0.024,10000,7940,-57800,12.3,22,1.95,1630,1.56,4.34,0.703
0.5,5600,0.0236,10200,8110,-59100,12.4,21.9,2.2,1630,1.58,5,0.696
0.5,5700,0.0231,10500,8300,-60300,12.4,21.9,2.55,1630,1.6,5.93,0.69
0.5,5800,0.0226,10700,8530,-61600,12.5,21.8,3.03,1630,1.63,7.21,0.684
0.5,5900,0.0222,11100,8820,-62800,12.5,21.8,3.68,1630,1.65,8.92,0.681
0.5,6000,0.0217,11500,9180,-64100,12.6,21.6,4.53,1640,1.67,11.1,0.68
0.5,6100,0.0212,12000,9630,-65300,12.7,21.5,5.6,1650,1.69,13.9,0.683
0.5,6200,0.0206,12600,10200,-66600,12.8,21.3,6.9,1660,1.71,17.2,0.688
0.5,6300,0.0201,13400,10900,-67900,12.9,21,8.41,1680,1.74,21,0.697
0.5,6400,0.0195,14300,11700,-69200,13,20.7,10.1,1700,1.76,25,0.71
0.5,6500,0.0188,15400,12700,-70500,13.2,20.4,11.9,1730,1.78,29.2,0.725
0.5,6600,0.0182,16700,13900,-71800,13.4,20,13.6,1760,1.8,33,0.744
0.5,6700,0.0175,18100,15300,-73200,13.6,19.5,15.2,1790,1.83,36.4,0.765
0.5,6800,0.0168,19700,16700,-74600,13.9,19,16.6,1830,1.85,38.9,0.787
0.5,6900,0.0162,21400,18300,-76000,14.1,18.5,17.5,1870,1.87,40.4,0.811
0.5,7000,0.0155,23200,20000,-77400,14.4,18,18,1910,1.89,40.9,0.834
0.5,7100,0.0149,25000,21700,-78800,14.6,17.6,18,1950,1.91,40.3,0.855
0.5,7200,0.0143,26800,23300,-80300,14.9,17.1,17.5,1990,1.93,38.8,0.874
0.5,7300,0.0138,28500,24900,-81800,15.1,16.7,16.7,2030,1.95,36.6,0.89
0.5,7400,0.0133,30100,26400,-83300,15.3,16.4,15.5,2070,1.97,34,0.901
0.5,7500,0.0129,31600,27700,-84900,15.5,16.1,14.2,2110,1.99,31.2,0.907
0.5,7600,0.0125,33000,29000,-86400,15.7,15.8,12.8,2140,2.01,28.4,0.908
0.5,7700,0.0122,34200,30100,-88000,15.9,15.6,11.5,2180,2.03,25.8,0.903
0.5,7800,0.0119,35300,31000,-89600,16,15.4,10.3,2220,2.05,23.5,0.893
0.5,7900,0.0116,36200,31900,-91200,16.1,15.2,9.14,2250,2.07,21.5,0.878
0.5,8000,0.0113,37100,32700,-92800,16.2,15.1,8.18,2280,2.08,19.8,0.859
0.5,8100,0.0111,37900,33400,-94500,16.3,15,7.37,2310,2.1,18.5,0.837
0.5,8200,0.0109,38600,34000,-96100,16.4,14.8,6.72,2350,2.12,17.5,0.814
0.5,8300,0.0107,39200,34500,-97700,16.5,14.8,6.19,2380,2.13,16.7,0.789
0.5,8400,0.0105,39800,35100,-99400,16.6,14.7,5.79,2400,2.15,16.2,0.766
0.5,8500,0.0103,40400,35500,-101000,16.6,14.6,5.48,2430,2.16,16,0.743
0.5,8600,0.0102,40900,36000,-103000,16.7,14.5,5.26,2460,2.18,15.9,0.723
0.5,8700,0.01,41400,36400,-104000,16.8,14.5,5.12,2480,2.19,15.9,0.705
0.5,8800,0.00985,41900,36900,-106000,16.8,14.4,5.04,2500,2.21,16.1,0.689
0.5,8900,0.0097,42400,37300,-108000,16.9,14.4,5.02,2520,2.22,16.5,0.676
0.5,9000,0.00956,42900,37700,-109000,16.9,14.3,5.04,2540,2.23,16.9,0.665
0.5,9100,0.00941,43500,38100,-111000,17,14.2,5.1,2560,2.24,17.4,0.655
0.5,9200,0.00928,44000,38600,-113000,17,14.2,5.19,2580,2.25,18.1,0.647
0.5,9300,0.00914,44500,39000,-115000,17.1,14.1,5.31,2590,2.26,18.7,0.641
0.5,9400,0.009,45000,39500,-116000,17.2,14.1,5.45,2610,2.27,19.5,0.635
0.5,9500,0.00887,45600,39900,-118000,17.2,14,5.62,2630,2.28,20.3,0.631
0.5,9600,0.00874,46200,40400,-120000,17.3,14,5.8,2650,2.29,21.1,0.627
0.5,9700,0.00861,46700,40900,-121000,17.3,13.9,6,2660,2.29,22,0.624
0.5,9800,0.00848,47400,41500,-123000,17.4,13.8,6.22,2680,2.3,23,0.622
0.5,9900,0.00836,48000,42000,-125000,17.5,13.8,6.45,2700,2.3,23.9,0.619
0.5,10000,0.00823,48600,42600,-127000,17.5,13.7,6.69,2720,2.3,24.9,0.618
0.5,10100,0.00811,49300,43200,-128000,17.6,13.6,6.94,2730,2.3,26,0.616
0.5,10200,0.00798,50000,43800,-130000,17.7,13.5,7.2,2750,2.31,27,0.615
0.5,10300,0.00786,50800,44400,-132000,17.7,13.5,7.47,2770,2.3,28.1,0.613
0.5,10400,0.00774,51500,45100,-134000,17.8,13.4,7.75,2790,2.3,29.1,0.612
0.5,10500,0.00762,52300,45800,-136000,17.9,13.3,8.03,2810,2.3,30.2,0.612
0.6,200,1.59,-9020,-9060,-9950,4.64,44,0.735,226,0.101,0.0955,0.776
0.6,300,1.06,-8940,-9000,-10400,4.96,44,0.846,270,0.15,0.166,0.764
0.6,400,0.794,-8850,-8930,-10900,5.22,44,0.939,308,0.197,0.246,0.753
0.6,500,0.635,-8750,-8850,-11500,5.43,44,1.01,341,0.24,0.326,0.748
0.6,600,0.529,-8650,-8760,-12000,5.62,44,1.08,371,0.28,0.403,0.746
0.6,700,0.454,-8540,-8670,-12600,5.79,44,1.13,399,0.317,0.478,0.746
0.6,800,0.397,-8420,-8570,-13200,5.95,44,1.17,425,0.351,0.548,0.748
0.6,900,0.353,-8300,-8470,-13800,6.09,44,1.2,449,0.383,0.616,0.749
0.6,1000,0.318,-8180,-8370,-14400,6.22,44,1.23,472,0.413,0.68,0.75
0.6,1100,0.289,-8060,-8270,-15000,6.33,44,1.26,494,0.442,0.741,0.752
0.6,1200,0.265,-7930,-8160,-15700,6.45,44,1.28,516,0.47,0.801,0.752
0.6,1300,0.244,-7800,-8050,-16300,6.55,44,1.3,536,0.497,0.86,0.752
0.6,1400,0.227,-7670,-7930,-17000,6.65,44,1.32,556,0.523,0.922,0.751
0.6,1500,0.212,-7540,-7820,-17600,6.74,44,1.35,574,0.548,0.992,0.748
0.6,1600,0.198,-7400,-7700,-18300,6.83,44,1.4,592,0.573,1.08,0.742
0.6,1700,0.187,-7260,-7580,-19000,6.91,44,1.47,609,0.597,1.2,0.732
0.6,1800,0.176,-7100,-7440,-19700,7,43.9,1.58,625,0.621,1.37,0.718
0.6,1900,0.166,-6940,-7300,-20400,7.09,43.8,1.75,640,0.645,1.61,0.701
0.6,2000,0.157,-6750,-7130,-21100,7.19,43.6,2,655,0.668,1.95,0.683
0.6,2100,0.149,-6540,-6940,-21800,7.29,43.4,2.33,671,0.692,2.43,0.665
0.6,2200,0.141,-6280,-6710,-22600,7.41,43,2.77,688,0.717,3.05,0.652
0.6,2300,0.133,-5980,-6430,-23300,7.54,42.4,3.32,706,0.743,3.83,0.643
0.6,2400,0.125,-5610,-6090,-24100,7.7,41.7,3.97,726,0.769,4.78,0.639
0.6,2500,0.118,-5180,-5690,-24900,7.88,40.8,4.71,749,0.797,5.87,0.64
0.6,2600,0.11,-4670,-5220,-25700,8.08,39.7,5.51,774,0.826,7.05,0.646
0.6,2700,0.103,-4080,-4660,-26500,8.3,38.4,6.33,802,0.856,8.28,0.654
0.6,2800,0.0954,-3410,-4040,-27300,8.54,37,7.1,832,0.886,9.49,0.663
0.6,2900,0.0884,-2660,-3340,-28200,8.8,35.5,7.79,866,0.915,10.6,0.672
0.6,3000,0.0818,-1850,-2580,-29100,9.08,34,8.37,901,0.944,11.6,0.68
0.6,3100,0.0757,-992,-1780,-30000,9.36,32.5,8.8,939,0.973,12.5,0.685
0.6,3200,0.0701,-95.4,-952,-31000,9.65,31.1,9.11,978,1,13.2,0.69
0.6,3300,0.0649,825,-99.2,-31900,9.93,29.7,9.28,1020,1.03,13.7,0.696
0.6,3400,0.0603,1750,760,-32900,10.2,28.4,9.3,1060,1.06,13.9,0.703
0.6,3500,0.0562,2680,1610,-34000,10.5,27.3,9.13,1100,1.08,13.8,0.714
0.6,3600,0.0525,3570,2430,-35000,10.7,26.2,8.74,1140,1.11,13.3,0.729
0.6,3700,0.0494,4420,3200,-36100,11,25.3,8.11,1180,1.14,12.4,0.746
0.6,3800,0.0466,5190,3900,-37200,11.2,24.5,7.27,1220,1.16,11.1,0.764
0.6,3900,0.0443,5870,4510,-38400,11.3,23.9,6.32,1260,1.19,9.66,0.779
0.6,4000,0.0423,6450,5030,-39500,11.5,23.4,5.35,1290,1.22,8.24,0.79
0.6,4100,0.0406,6940,5460,-40700,11.6,23.1,4.47,1330,1.24,6.97,0.795
0.6,4200,0.0392,7350,5820,-41800,11.7,22.8,3.72,1360,1.27,5.91,0.796
0.6,4300,0.0379,7690,6110,-43000,11.8,22.6,3.12,1400,1.29,5.08,0.792
0.6,4400,0.0368,7980,6350,-44200,11.9,22.4,2.66,1430,1.31,4.45,0.784
0.6,4500,0.0358,8230,6550,-45400,11.9,22.3,2.32,1460,1.34,4,0.775
0.6,4600,0.0349,8440,6730,-46600,12,22.2,2.07,1490,1.36,3.68,0.765
0.6,4700,0.0341,8640,6880,-47800,12,22.2,1.89,1520,1.38,3.46,0.755
0.6,4800,0.0333,8820,7020,-49000,12,22.1,1.76,1540,1.41,3.32,0.747
0.6,4900,0.0326,9000,7150,-50200,12.1,22.1,1.68,1570,1.43,3.24,0.74
